number,clue,answer,direction,date,day,year,person,,,
44,An Astaire,ADELE,across,12/23/1993,Thu,1993,Adele Astaire (Dancer),,Adele Astaire (Dancer),39
16,"""Die Fledermaus"" maid",ADELE,across,12/24/1993,Fri,1993,Adele (Operetta Character),,Adele (Operetta Character),6
18,Fred's sister,ADELE,across,3/1/1994,Tue,1994,Adele Astaire (Dancer),,Adele Simpson (Designer),9
2,One of the Astaires,ADELE,down,4/12/1994,Tue,1994,Adele Astaire (Dancer),,Adele (Film),1
24,Designer Simpson,ADELE,down,7/15/1994,Fri,1994,Adele Simpson (Designer),,Adele Varens (Book Character),7
21,Fred's familial partner,ADELE,across,8/9/1995,Wed,1995,Adele Astaire (Dancer),,Adele Hugo (Film Character),5
15,Truffant subject,ADELE,across,9/2/1995,Sat,1995,Adele (Film),,Adele Mara (Actress),1
35,Fred Astaire's sister,ADELE,down,11/22/1995,Wed,1995,Adele Astaire (Dancer),,Adele Ashworth (Author),1
41,"""Jane Eyre"" girl ___ Varens",ADELE,across,11/26/1995,Sun,1995,Adele Varens (Book Character),,Adele (Painting),1
48,First name in dance,ADELE,across,3/1/1996,Fri,1996,Adele Astaire (Dancer),,Adele (Singer),74
49,"H, e.g., in the literary world",ADELE,down,5/18/1996,Sat,1996,Adele Hugo (Film Character),,,
72,One of the Astaires,ADELE,down,6/23/1996,Sun,1996,Adele Astaire (Dancer),,1993,2
117,40's-50's actress___Mara,ADELE,down,6/30/1996,Sun,1996,Adele Mara (Actress),,1994,3
47,"""The Story of___H""",ADELE,down,7/8/1996,Mon,1996,Adele Hugo (Film Character),,1995,4
104,First name in dance,ADELE,across,8/25/1996,Sun,1996,Adele Astaire (Dancer),,1996,10
62,Designer Simpson,ADELE,across,10/10/1996,Thu,1996,Adele Simpson (Designer),,1997,3
9,"""Die Fledermaus"" maid",ADELE,down,10/17/1996,Thu,1996,Adele (Operetta Character),,1998,5
50,Rochester's ward,ADELE,down,10/18/1996,Fri,1996,Adele Varens (Book Character),,1999,4
6,Dancer Astaire,ADELE,down,12/30/1996,Mon,1996,Adele Astaire (Dancer),,2000,4
56,Dancer Astaire,ADELE,across,6/23/1997,Mon,1997,Adele Astaire (Dancer),,2001,4
2,Designer Simpson,ADELE,down,11/23/1997,Sun,1997,Adele Simpson (Designer),,2002,2
2,Designer Simpson,ADELE,down,12/7/1997,Sun,1997,Adele Simpson (Designer),,2003,4
121,Designer Simpson,ADELE,across,3/1/1998,Sun,1998,Adele Simpson (Designer),,2004,2
29,Fred's light-footed sister,ADELE,down,5/12/1998,Tue,1998,Adele Astaire (Dancer),,2005,3
61,Fred's dancing partner,ADELE,across,7/6/1998,Mon,1998,Adele Astaire (Dancer),,2006,5
14,"""Jane Eyre"" girl",ADELE,across,7/16/1998,Thu,1998,Adele Varens (Book Character),,2007,2
31,Designer Simpson,ADELE,down,11/1/1998,Sun,1998,Adele Simpson (Designer),,2008,5
70,One of the Astaires,ADELE,across,1/18/1999,Mon,1999,Adele Astaire (Dancer),,2009,1
4,Designer Simpson,ADELE,down,3/25/1999,Thu,1999,Adele Simpson (Designer),,2010,2
18,Jane Eyre's pupil,ADELE,across,7/30/1999,Fri,1999,Adele Varens (Book Character),,2011,3
16,Fred's dancing partner,ADELE,across,10/6/1999,Wed,1999,Adele Astaire (Dancer),,2012,3
70,"""Die Fledermaus"" maid",ADELE,down,4/16/2000,Sun,2000,Adele (Operetta Character),,2013,5
32,Fred Astaire's sister,ADELE,down,5/15/2000,Mon,2000,Adele Astaire (Dancer),,2014,6
50,Fred's dancing sister,ADELE,down,7/3/2000,Mon,2000,Adele Astaire (Dancer),,2015,5
19,Dancing Astaire,ADELE,across,8/10/2000,Thu,2000,Adele Astaire (Dancer),,2016,2
63,"""The Story of ___ H""",ADELE,across,7/17/2001,Tue,2001,Adele Hugo (Film Character),,2017,5
52,Jane Eyre's pupil,ADELE,down,9/5/2001,Wed,2001,Adele Varens (Book Character),,2018,6
6,Designer Simpson,ADELE,down,9/13/2001,Thu,2001,Adele Simpson (Designer),,2019,9
73,An Astaire,ADELE,down,12/23/2001,Sun,2001,Adele Astaire (Dancer),,2020,6
59,Wife or daughter of Victor Hugo,ADELE,across,1/19/2002,Sat,2002,Adele Hugo (Film Character),,2021,8
2,Designer Simpson,ADELE,down,2/15/2002,Fri,2002,Adele Simpson (Designer),,2022,8
115,Jane Eyre's pupil,ADELE,across,1/26/2003,Sun,2003,Adele Varens (Book Character),,2023,5
2,Dance partner for Fred,ADELE,down,1/30/2003,Thu,2003,Adele Astaire (Dancer),,2024,8
